LTL_Picker,LTL_Lines,Date
79,190,4/12/2006
203,100,4/12/2006
145,26,4/12/2006
176,25,4/12/2006
en,11,4/13/2006
176,485,4/13/2006
278,134,4/13/2006
248,134,4/13/2006
101,101,4/13/2006
230,134,4/13/2006
176,15,4/13/2006
145,209,4/13/2006
438,196,4/13/2006
79,86,4/13/2006
en,13,4/14/2006
203,75,4/14/2006
278,175,4/14/2006
248,175,4/14/2006
148,133,4/14/2006
176,476,4/14/2006
176,74,4/14/2006
101,175,4/14/2006
145,178,4/14/2006
438,250,4/14/2006
79,33,4/14/2006
237,75,4/14/2006
en,10,4/17/2006
176,500,4/17/2006
278,108,4/17/2006
248,108,4/17/2006
230,108,4/17/2006
79,132,4/17/2006
446,80,4/17/2006
en,7,4/18/2006
176,457,4/18/2006
101,140,4/18/2006
278,175,4/18/2006
248,175,4/18/2006
230,175,4/18/2006
176,93,4/18/2006
101,160,4/18/2006
438,169,4/18/2006
438,6,4/18/2006
BO,55,4/18/2006
EN,6,4/19/2006
176,485,4/19/2006
278,200,4/19/2006
248,200,4/19/2006
9000,50,4/19/2006
176,115,4/19/2006
230,150,4/19/2006
438,225,4/19/2006
203,100,4/19/2006
238,75,4/19/2006
EN,11,4/20/2006
176,446,4/20/2006
278,200,4/20/2006
248,200,4/20/2006
438,75,4/20/2006
230,250,4/20/2006
176,106,4/20/2006
203,2,4/20/2006
438,100,4/20/2006
79,50,4/20/2006
9001,50,4/20/2006
148,45,4/20/2006
230,81,4/20/2006
EN,8,4/21/2006
176,455,4/21/2006
248,200,4/21/2006
278,200,4/21/2006
438,228,4/21/2006
79,59,4/21/2006
203,49,4/21/2006
176,60,4/21/2006
230,75,4/21/2006
438,54,4/21/2006
203,76,4/21/2006
EN,11,4/24/2006
176,500,4/24/2006
278,140,4/24/2006
248,140,4/24/2006
230,140,4/24/2006
101,111,4/24/2006
9001,99,4/24/2006
230,59,4/24/2006
438,235,4/24/2006
79,56,4/24/2006
EN,7,4/25/2006
176,490,4/25/2006
278,200,4/25/2006
248,200,4/25/2006
230,200,4/25/2006
101,100,4/25/2006
101,200,4/25/2006
438,204,4/25/2006
9001,98,4/25/2006
176,60,4/25/2006
79,21,4/25/2006
en,17,4/26/2006
176,500,4/26/2006
278,140,4/26/2006
248,140,4/26/2006
230,140,4/26/2006
101,95,4/26/2006
9001,99,4/26/2006
278,168,4/26/2006
79,77,4/26/2006
en,4,4/27/2006
278,150,4/27/2006
248,150,4/27/2006
230,150,4/27/2006
230,63,4/27/2006
176,500,4/27/2006
176,25,4/27/2006
101,105,4/27/2006
438,275,4/27/2006
79,51,4/27/2006
446,35,4/27/2006
9001,100,4/27/2006
en,9,4/28/2006
176,448,4/28/2006
278,150,4/28/2006
248,150,4/28/2006
230,150,4/28/2006
101,90,4/28/2006
9001,107,4/28/2006
278,148,4/28/2006
101,1588,4/28/2006
176,52,4/28/2006
248,25,4/28/2006
278,25,4/28/2006
230,24,4/28/2006
EN,6,5/1/2006
278,125,5/1/2006
248,125,5/1/2006
230,125,5/1/2006
176,470,5/1/2006
101,60,5/1/2006
9001,100,5/1/2006
176,30,5/1/2006
79,37,5/1/2006
278,130,5/1/2006
248,130,5/1/2006
230,130,5/1/2006
438,26,5/1/2006
en,9,5/2/2006
278,150,5/2/2006
248,150,5/2/2006
230,150,5/2/2006
176,441,5/2/2006
101,50,5/2/2006
438,50,5/2/2006
9001,25,5/2/2006
230,75,5/2/2006
176,81,5/2/2006
438,275,5/2/2006
9001,125,5/2/2006
278,100,5/3/2006
248,100,5/3/2006
230,100,5/3/2006
176,34,5/3/2006
101,34,5/3/2006
438,58,5/3/2006
9001,48,5/3/2006
176,75,5/3/2006
199,50,5/3/2006
145,50,5/3/2006
176,150,5/3/2006
EN,18,5/3/2006
446,50,5/3/2006
79,25,5/3/2006
79,28,5/3/2006
79,73,5/3/2006
438,150,5/3/2006
17,,5/3/2006
EN,6,5/4/2006
176,464,5/4/2006
278,109,5/4/2006
248,109,5/4/2006
230,109,5/4/2006
438,97,5/4/2006
9001,97,5/4/2006
176,47,5/4/2006
en,12,5/5/2006
176,485,5/5/2006
278,150,5/5/2006
248,150,5/5/2006
230,150,5/5/2006
9001,50,5/5/2006
438,55,5/5/2006
230,13,5/5/2006
438,250,5/5/2006
9001,60,5/5/2006
79,100,5/5/2006
278,10,5/5/2006
248,10,5/5/2006
230,10,5/5/2006
438,11,5/5/2006
176,15,5/5/2006
en,12,5/8/2006
176,500,5/8/2006
278,135,5/8/2006
248,135,5/8/2006
230,135,5/8/2006
101,55,5/8/2006
278,95,5/8/2006
415,149,5/8/2006
EN,9,5/9/2006
176,500,5/9/2006
278,200,5/9/2006
248,200,5/9/2006
438,75,5/9/2006
415,48,5/9/2006
176,50,5/9/2006
438,257,5/9/2006
415,175,5/9/2006
79,86,5/9/2006
en,12,5/10/2006
176,485,5/10/2006
278,175,5/10/2006
248,175,5/10/2006
